"","entrZ","go_path","FBgn","symbol"
"1","46080","dme04141","FBgn0010638","Sec61beta"
"2","42806","dme04141","FBgn0028475","Hrd3"
"3","43034","dme04141","FBgn0039296","Sil1"
"4","40336","dme04141","FBgn0041100","park"
"5","42855","dme04141","FBgn0039147","CG10694"
"6","33409","dme04141","FBgn0262126","Sec24CD"
"7","33369","dme04141","FBgn0267972","Der-1"
"8","39447","dme04141","FBgn0036306","CG10973"
"9","35674","dme04141","FBgn0033179","p47"
"10","39474","dme04141","FBgn0036332","Cul6"
"11","31042","dme04141","FBgn0040340","TRAM"
"12","43436","dme04141","FBgn0039634","alpha-Man-Ib"
"13","32996","dme04141","FBgn0026175","SkpC"
"14","32997","dme04141","FBgn0031074","SkpE"
"15","44643","dme04141","FBgn0015622","Cnx99A"
"16","37713","dme04141","FBgn0034863","SkpF"
"17","38389","dme04141","FBgn0001233","Hsp83"
"18","40694","dme04141","FBgn0262125","Sec23"
"19","32995","dme04141","FBgn0026174","SkpD"
"20","38300","dme04141","FBgn0035333","CG1317"
"21","38500","dme04141","FBgn0261274","Ero1L"
"22","34159","dme04141","FBgn0263852","Dad1"
"23","37312","dme04141","FBgn0034510","CG13426"
"24","38096","dme04141","FBgn0035165","CG13887"
"25","32968","dme04141","FBgn0031049","Sec61gamma"
"26","32977","dme04141","FBgn0031057","Ubqn"
"27","49953","dme04141","FBgn0027588","GCS2alpha"
"28","36025","dme04141","FBgn0033460","Sec24AB"
"29","42005","dme04141","FBgn0038438","Der-2"
"30","33082","dme04141","FBgn0031149","Stt3A"
"31","37763","dme04141","FBgn0034904","CG15800"
"32","32073","dme04141","FBgn0030289","GCS1"
"33","43709","dme04141","FBgn0019990","Gcn2"
"34","31014","dme04141","FBgn0025638","Roc1a"
"35","31016","dme04141","FBgn0025637","SkpA"
"36","53445","dme04141","FBgn0040291","Roc1b"
"37","33333","dme04141","FBgn0031345","CG18132"
"38","43785","dme04141","FBgn0026777","Rad23"
"39","32124","dme04141","FBgn0030329","prtp"
"40","44920","dme04141","FBgn0013276","Hsp70Ab"
"41","35742","dme04141","FBgn0015509","Cul1"
"42","32180","dme04141","FBgn0030377","CG1924"
"43","43747","dme04141","FBgn0039875","sip3"
"44","40653","dme04141","FBgn0037327","PEK"
"45","36040","dme04141","FBgn0286784","TER94"
"46","31215","dme04141","FBgn0023529","CG2918"
"47","246488","dme04141","FBgn0050156","CG30156"
"48","41707","dme04141","FBgn0038195","CG3061"
